id,latitude,longitude,name,type,color,url
1,51.81828,-3.02827,Waitrose Abergavenny,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/683.html
2,51.67208,-1.27967,Waitrose Abingdon,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/211.html
3,49.46706,-2.53779,Waitrose Admiral Park Guernsey,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/335.html
4,52.21646,-1.87016,Waitrose Alcester,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/474.html
5,53.30269,-2.23694,little Waitrose Alderley Edge,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/602.html
6,51.28618,0.49749,Waitrose Allington Park,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/137.html
7,51.15253,-0.96797,Waitrose Alton,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/329.html
8,53.40541,-2.36511,Waitrose Altrincham,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/494.html
9,51.67757,-0.60628,little Waitrose Amersham,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/578.html
10,52.0325,-0.4932,Waitrose Ampthill,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/722.html
11,51.2085,-1.48122,Waitrose Andover,Waitrose,609128,http://www.waitrose.com/content/waitrose/en/bf_home/bf/168.html
